urdu,roman_urdu
اُس نے مجھے کال نہیں کِیا,usne mujhe call nahi kiya
اُس نے کیا کیا ہے پھر سے,usne kya kiya hai phir se
اُس نے پہلے بھی ایسا کِیا تھا,usne pehle bhi aisa kiya tha
اُس نے بتا دیا سب کو,usne bata diya sab ko
اُس نے میسج کیوں نہیں دیا,usne message kyun nahi diya
اُس نے میری بات نہیں مانی,usne meri baat nahi mani
اُس نے کام وقت پے نہیں کِیا,usne kaam waqt pe nahi kiya
اُس نے سچ بولا یا جھوٹ,usne sach bola ya jhooth
اُس نے دوبارہ غلطی کی,usne dobara galti ki
اِس نے کیوں چھپایا مجھ سے,usne kyun chhupaaya mujh se
ہم نے پہلے بات کی تھی اِس بارے میں,humne pehle baat ki thi is baare mein
ہم نے مل کے یہ کام کِیا,humne mil ke yeh kaam kiya
ہم نے سوچا نہیں تھا ایسا ہوگا,humne socha nahi tha aisa hoga
ہم نے آرڈر کر دیا ہے,humne order kar diya hai
ہم نے پلان چینج کر لیا,humne plan change kar liya
ہم نے اُسے نہیں بلایا تھا,humne usse nahi bulaya tha
ہم نے سب ٹھیک کر لیا,humne sab theek kar liya
ہم نے ایک ساتھ کھانا کھایا,humne ek saath khana khaya
ہم نے وہ موویز نہیں دیکھی,humne woh movie nahi dekhi
ہم نے بہت محنت کی تھی,humne bahut mehnat ki thi
تم نے یہ کیوں کِیا,tumne yeh kyun kiya
تم نے بولا تھا نا آنا ہے,tumne bola tha na aana hai
تم نے میسج دیکھا نہیں کیا,tumne message dekha nahi kya
تم نے صحیح کہا,tumne sahi kaha
تم نے اُسے کیوں بتایا,tumne usse kyun bataya
تم نے کام ختم کیا کیا,tumne kaam khatam kiya kya
تم نے مجھے کال نہیں کی,tumne mujhe call nahi ki
تم نے اچھا کِیا تھا جو رک گئے,tumne acha kiya tha jo ruk gaye
تم نے وہ والا کام کِیا تھا جو کہا تھا,tumne woh wala kaam kiya tha jo kaha tha
تم نے میرے بارے میں کیا سوچا,tumne mere baare mein kya socha
اُنہوں نے کچھ نہیں کہا,unhone kuch nahi kaha
اُنہوں نے مجھے ڈرا دیا,unhone mujhe dara diya
اُنہوں نے یہ سب پلان کِیا تھا,unhone yeh sab plan kiya tha
اُنہوں نے کال کی تھی صبح,unhone call ki thi subah
اُنہوں نے معافی مانگی,unhone maafi maangi
